Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 10393.38it/s]
[ours] loaded 48 steer tensors; prefix_write=False; cfg=PrefixSteerConfig(num_prefix_tokens=0, sliding_window_size=256, mem_num_heads=1, mem_head_dim=128, steer_mode='deltamem', normal_attends_prefix=True, prefix_sees_query=True, prefix_init_std=0.7, prefix_init_dist='normal', prefix_write=False, read_prefix_only=False, memory_mode='dynamic', write_ctx_only=False, prefix_write_layout='global', prefix_write_overlap_tokens=0, pool_reads=False, pool_gate=False, pool_gate_input='rm', pool_gate_max=2.0, pool_gate_bias=0.0, steer_layers=(0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33), prefix_layers=(), steer_gain=0.1, share_qkv=False, memory_value_source='main_v', delta_heads='o', delta_rank=0, read_proj_dim=0, output_fusion='fixed', o_fusion_position='pre_o', output_fusion_eps=1e-06, output_fusion_scale_max=10.0, fusion_lambda_init=0.1, fusion_lambda_max=1.0, fusion_ema_momentum=0.99, history_pool_mode='none', hybrid_read_mode='none', hybrid_prefix_gate_mode='fixed', hybrid_prefix_gate_init=0.1)
[eval] checkpoint has no persistent history writer; skipping redundant context WRITE pass
Using the latest cached version of the dataset since hotpotqa/hotpot_qa couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'distractor' at /home/mingze/.cache/huggingface/datasets/hotpotqa___hotpot_qa/distractor/0.0.0/1908d6afbbead072334abe2965f91bd2709910ab (last modified on Wed Aug 12 05:30:25 2026).
[shard 0] 7405 examples
[shard 0] 20/7405 baseF1=0.629 oursF1=0.707 (0.2m)
[shard 0] 40/7405 baseF1=0.642 oursF1=0.675 (0.4m)
[shard 0] 60/7405 baseF1=0.641 oursF1=0.700 (0.6m)
[shard 0] 80/7405 baseF1=0.635 oursF1=0.685 (0.7m)
[shard 0] 100/7405 baseF1=0.626 oursF1=0.662 (0.8m)
[shard 0] 120/7405 baseF1=0.591 oursF1=0.636 (1.1m)
[shard 0] 140/7405 baseF1=0.562 oursF1=0.620 (1.2m)
[shard 0] 160/7405 baseF1=0.562 oursF1=0.609 (1.3m)
[shard 0] 180/7405 baseF1=0.573 oursF1=0.614 (1.5m)
[shard 0] 200/7405 baseF1=0.568 oursF1=0.612 (1.7m)
[shard 0] 220/7405 baseF1=0.577 oursF1=0.616 (1.8m)
[shard 0] 240/7405 baseF1=0.579 oursF1=0.614 (2.0m)
[shard 0] 260/7405 baseF1=0.569 oursF1=0.601 (2.2m)
[shard 0] 280/7405 baseF1=0.565 oursF1=0.598 (2.4m)
[shard 0] 300/7405 baseF1=0.564 oursF1=0.602 (2.7m)
[shard 0] 320/7405 baseF1=0.558 oursF1=0.595 (2.9m)
[shard 0] 340/7405 baseF1=0.549 oursF1=0.590 (3.0m)
[shard 0] 360/7405 baseF1=0.550 oursF1=0.589 (3.1m)
[shard 0] 380/7405 baseF1=0.546 oursF1=0.586 (3.4m)
[shard 0] 400/7405 baseF1=0.541 oursF1=0.582 (3.5m)
[shard 0] 420/7405 baseF1=0.547 oursF1=0.589 (3.7m)
[shard 0] 440/7405 baseF1=0.553 oursF1=0.593 (3.8m)
[shard 0] 460/7405 baseF1=0.551 oursF1=0.591 (4.0m)
[shard 0] 480/7405 baseF1=0.553 oursF1=0.593 (4.2m)
[shard 0] 500/7405 baseF1=0.560 oursF1=0.600 (4.3m)
[shard 0] 520/7405 baseF1=0.559 oursF1=0.600 (4.5m)
[shard 0] 540/7405 baseF1=0.560 oursF1=0.599 (4.7m)
[shard 0] 560/7405 baseF1=0.566 oursF1=0.603 (4.8m)
[shard 0] 580/7405 baseF1=0.571 oursF1=0.608 (5.0m)
[shard 0] 600/7405 baseF1=0.575 oursF1=0.613 (5.2m)
[shard 0] 620/7405 baseF1=0.576 oursF1=0.613 (5.4m)
[shard 0] 640/7405 baseF1=0.571 oursF1=0.608 (5.5m)
[shard 0] 660/7405 baseF1=0.573 oursF1=0.611 (5.7m)
